NAME1,RA1,DEC1,Z1,RMS1,NAME2,RA2,DEC2,Z2,RMS2
J115341.78+461242.3,178.42407,46.211737,0.024415,0.0215708,J093917.26+363343.9,144.82191,36.562197,0.0197165,0.0236172
J115341.78+461242.3,178.42407,46.211737,0.024415,0.0215708,J113446.25+025515.7,173.69272,2.9210337,0.0286643,0.0265501
J115341.78+461242.3,178.42407,46.211737,0.024415,0.0215708,J111038.86+034519.6,167.66192,3.7554482000000005,0.0254525,0.0237667
J115341.78+461242.3,178.42407,46.211737,0.024415,0.0215708,J135857.98+614050.6,209.74157999999997,61.680726,0.0299321,0.0148169
J115341.78+461242.3,178.42407,46.211737,0.024415,0.0215708,J082854.33+343906.0,127.22636000000001,34.651656,0.0209219,0.0168988
J140040.57-015518.3,210.16903,-1.921744,0.024997,0.0243023,J082443.29+295923.6,126.18036000000001,29.989878000000004,0.0253248,0.018166
J140040.57-015518.3,210.16903,-1.921744,0.024997,0.0243023,J104833.59+475914.7,162.13996,47.987413000000004,0.0332144,0.021167
J140040.57-015518.3,210.16903,-1.921744,0.024997,0.0243023,J082403.67+515415.7,126.01531000000001,51.904354999999995,0.0313134,0.0229237
J140040.57-015518.3,210.16903,-1.921744,0.024997,0.0243023,J101658.93+132357.5,154.24553999999998,13.399298000000002,0.0325502,0.0209041
J140040.57-015518.3,210.16903,-1.921744,0.024997,0.0243023,J111835.82+002511.2,169.64924,0.41976742,0.0250768,0.0153728
J092438.89+560747.0,141.16204,56.12971999999999,0.025041,0.0263643,J141026.83-004956.6,212.6118,-0.8323797,0.0255217,0.0210185
J092438.89+560747.0,141.16204,56.12971999999999,0.025041,0.0263643,J211224.69+112431.4,318.10287999999997,11.408724000000001,0.0166295,0.018317
J092438.89+560747.0,141.16204,56.12971999999999,0.025041,0.0263643,J082825.87+250052.7,127.1078,25.014635000000002,0.0286997,0.0158268
J092438.89+560747.0,141.16204,56.12971999999999,0.025041,0.0263643,J110158.99+451340.9,165.49581,45.228033,0.0200535,0.0262209
J092438.89+560747.0,141.16204,56.12971999999999,0.025041,0.0263643,J230442.82-093345.3,346.17842,-9.5625868,0.0319328,0.0192815
J164721.48+444209.8,251.83947999999998,44.702717,0.025651,0.0213624,J103443.72+110310.7,158.68216,11.052976,0.0221874,0.0256545
J164721.48+444209.8,251.83947999999998,44.702717,0.025651,0.0213624,J114930.79+424541.1,177.37831,42.761421999999996,0.0266013,0.0237471
J164721.48+444209.8,251.83947999999998,44.702717,0.025651,0.0213624,J095812.60+110635.5,149.55248999999998,11.109869999999999,0.0273088,0.0181454
J164721.48+444209.8,251.83947999999998,44.702717,0.025651,0.0213624,J162441.32+345001.7,246.17215,34.833813,0.0339847,0.0167612
J164721.48+444209.8,251.83947999999998,44.702717,0.025651,0.0213624,J130238.75+452637.3,195.66144,45.443697,0.0242026,0.0208017
J112637.74+513423.0,171.65725,51.573064,0.026443,0.0225989,J115704.55+434937.6,179.26895,43.8271,0.0252319,0.0214022
J112637.74+513423.0,171.65725,51.573064,0.026443,0.0225989,J030801.40-005325.8,47.005833,-0.89049031,0.0289808,0.00626722
J112637.74+513423.0,171.65725,51.573064,0.026443,0.0225989,J124148.07+474231.9,190.45028,47.708847999999996,0.0306641,0.0227704
J112637.74+513423.0,171.65725,51.573064,0.026443,0.0225989,J110529.83+033935.9,166.37431,3.6599758000000002,0.0252632,0.0178715
J112637.74+513423.0,171.65725,51.573064,0.026443,0.0225989,J092346.59+352900.3,140.94411000000002,35.483403,0.0264794,0.0213775
J080020.99+263648.7,120.08743999999999,26.613535,0.026773,0.0238078,J080707.18+361400.5,121.77993000000001,36.233472,0.0322888,0.0169394
J080020.99+263648.7,120.08743999999999,26.613535,0.026773,0.0238078,J104000.58+390720.0,160.0024,39.122223999999996,0.0308047,0.0166091
J080020.99+263648.7,120.08743999999999,26.613535,0.026773,0.0238078,J110133.96+453913.9,165.39151999999999,45.65387,0.029398,0.0261424
J080020.99+263648.7,120.08743999999999,26.613535,0.026773,0.0238078,J075953.49+232324.2,119.97287,23.390062,0.0291703,0.016982
J080020.99+263648.7,120.08743999999999,26.613535,0.026773,0.0238078,J133548.25+025956.1,203.95103,2.9989274,0.0217587,0.0184286
J133248.70+415218.6,203.20292,41.871832,0.027065,0.0225414,J130905.60+113802.9,197.27333000000002,11.634127000000001,0.0251973,0.0254002
J133248.70+415218.6,203.20292,41.871832,0.027065,0.0225414,J103719.33+433515.3,159.33056000000002,43.587589,0.0247628,0.0265623
J133248.70+415218.6,203.20292,41.871832,0.027065,0.0225414,J090554.49+471045.5,136.47706000000002,47.179305,0.0272183,0.0151846
J133248.70+415218.6,203.20292,41.871832,0.027065,0.0225414,J220141.64+115124.4,330.42349,11.856781,0.0296601,0.0191284
J133248.70+415218.6,203.20292,41.871832,0.027065,0.0225414,J150759.30+011354.3,226.99709,1.2317371000000001,0.0351143,0.015763
J114343.76+550019.3,175.93235,55.005366,0.027067,0.0247341,J011905.14+003745.0,19.771425,0.62916836,0.0326528,0.00681892
J114343.76+550019.3,175.93235,55.005366,0.027067,0.0247341,J111319.24+044425.2,168.33016999999998,4.7403287,0.0266165,0.0237012
J114343.76+550019.3,175.93235,55.005366,0.027067,0.0247341,J094705.72+050159.9,146.77383999999998,5.0333082000000005,0.0242562,0.0163541
J114343.76+550019.3,175.93235,55.005366,0.027067,0.0247341,J115359.07+130853.7,178.49611000000002,13.148238000000001,0.0226907,0.0241886
J004042.10-110957.6,10.175425,-11.166005,0.027287,0.0202494,J030632.00-062521.2,46.633328999999996,-6.422552,0.028027,0.014345
J004042.10-110957.6,10.175425,-11.166005,0.027287,0.0202494,J110617.71-004542.2,166.57378,-0.76171751,0.0311476,0.0141371
J004042.10-110957.6,10.175425,-11.166005,0.027287,0.0202494,J110219.75+123107.1,165.58231,12.518652000000001,0.0271095,0.0243822
J004042.10-110957.6,10.175425,-11.166005,0.027287,0.0202494,J113132.72+523921.6,172.88631999999998,52.656003000000005,0.033867,0.0214966
J004042.10-110957.6,10.175425,-11.166005,0.027287,0.0202494,J083658.39+051119.1,129.24331,5.1886525,0.0305774,0.0193256
J140718.29+125314.0,211.82619,12.887215,0.027368,0.023502,J153838.50+365730.1,234.66042000000002,36.958355,0.0186078,0.0166466
J140718.29+125314.0,211.82619,12.887215,0.027368,0.023502,J135933.18+560228.7,209.88824,56.041314,0.0341472,0.0228344
J140718.29+125314.0,211.82619,12.887215,0.027368,0.023502,J230343.06+135535.5,345.92942999999997,13.926541,0.0270755,0.0176934
J140718.29+125314.0,211.82619,12.887215,0.027368,0.023502,J113252.56+433053.9,173.21901,43.514963,0.0243026,0.0212433
J140718.29+125314.0,211.82619,12.887215,0.027368,0.023502,J100356.91+013044.5,150.98713999999998,1.512362,0.0250304,0.0200725
J111857.69+580323.6,169.74036999999998,58.056554000000006,0.027872,0.0128962,J110326.80+664011.0,165.86167,66.66972,0.0333292,0.0294695
J111857.69+580323.6,169.74036999999998,58.056554000000006,0.027872,0.0128962,J144837.04+514331.0,222.15432,51.725287,0.0364433,0.0231349
J111857.69+580323.6,169.74036999999998,58.056554000000006,0.027872,0.0128962,J085214.30+525323.9,133.05959,52.88998,0.0308946,0.0213887
J111857.69+580323.6,169.74036999999998,58.056554000000006,0.027872,0.0128962,J114504.88+463733.6,176.27033,46.625995,0.0351432,0.0260425
J111857.69+580323.6,169.74036999999998,58.056554000000006,0.027872,0.0128962,J135801.16+390138.2,209.50485,39.027282,0.0370422,0.0197135
J162012.76+400906.2,245.05315,40.151720000000005,0.028476,0.0220015,J143143.18-021248.8,217.92991,-2.2135634,0.0295117,0.0246661
J162012.76+400906.2,245.05315,40.151720000000005,0.028476,0.0220015,J143416.62+371202.7,218.56926,37.200737,0.0348953,0.0233947
J162012.76+400906.2,245.05315,40.151720000000005,0.028476,0.0220015,J163934.96+355604.5,249.89567000000002,35.934582,0.0373468,0.0252637
J162012.76+400906.2,245.05315,40.151720000000005,0.028476,0.0220015,J145205.74+381059.3,223.0239,38.183132,0.0323925,0.0216498
J162012.76+400906.2,245.05315,40.151720000000005,0.028476,0.0220015,J120138.04+061245.2,180.40849,6.212547799999999,0.0363207,0.0146805
J114107.56-024910.9,175.28149,-2.819687,0.028737,0.0175914,J083057.51+421230.2,127.73963,42.208402,0.0351916,0.0151452
J114107.56-024910.9,175.28149,-2.819687,0.028737,0.0175914,J173752.68+540339.5,264.4695,54.060977,0.0296057,0.0175567
J114107.56-024910.9,175.28149,-2.819687,0.028737,0.0175914,J164858.61+400041.4,252.24422,40.01149,0.0322723,0.0160829
J114107.56-024910.9,175.28149,-2.819687,0.028737,0.0175914,J155130.28+490728.1,237.87617999999998,49.124466999999996,0.0346424,0.021511
J114107.56-024910.9,175.28149,-2.819687,0.028737,0.0175914,J144725.16+032627.9,221.85484,3.4410909,0.0274169,0.0225403
J173809.30+584253.7,264.53876,58.714904000000004,0.028761,0.0169024,J112221.15+462549.8,170.58813,46.43051,0.0323178,0.0261833
J173809.30+584253.7,264.53876,58.714904000000004,0.028761,0.0169024,J170408.72+312902.3,256.03635,31.483965,0.0330509,0.0155989
J173809.30+584253.7,264.53876,58.714904000000004,0.028761,0.0169024,J095145.09+031620.5,147.93788999999998,3.2723698,0.0345317,0.0222881
J173809.30+584253.7,264.53876,58.714904000000004,0.028761,0.0169024,J090015.62+401748.4,135.06507,40.296765,0.0289336,0.0227251
J173809.30+584253.7,264.53876,58.714904000000004,0.028761,0.0169024,J112320.25+055107.3,170.83436,5.852014700000001,0.0374699,0.0253981
J111349.74+093510.7,168.45725,9.586292,0.028969,0.0327288,J003735.81+001650.5,9.399220399999999,0.28068526,0.0349309,0.00714801
J111349.74+093510.7,168.45725,9.586292,0.028969,0.0327288,J220316.00+003415.9,330.81665,0.571085,0.0301422,0.00946128
J111349.74+093510.7,168.45725,9.586292,0.028969,0.0327288,J120908.81+440011.5,182.28671,44.003199,0.0375801,0.0215759
J111349.74+093510.7,168.45725,9.586292,0.028969,0.0327288,J104000.58+390720.0,160.0024,39.122223999999996,0.0308047,0.0166091
J111349.74+093510.7,168.45725,9.586292,0.028969,0.0327288,J152041.34+490623.6,230.17224,49.106545000000004,0.0384042,0.0166606
J142704.55+355409.6,216.76896000000002,35.902656,0.029031,0.0235467,J153908.88+322425.4,234.78701,32.407063,0.0313468,0.0170792
J142704.55+355409.6,216.76896000000002,35.902656,0.029031,0.0235467,J085814.87+353901.1,134.56194,35.650295,0.0321595,0.0169268
J142704.55+355409.6,216.76896000000002,35.902656,0.029031,0.0235467,J104248.63+110000.9,160.70263,11.000242,0.0295084,0.0237504
J142704.55+355409.6,216.76896000000002,35.902656,0.029031,0.0235467,J160534.65+323940.9,241.39436,32.661363,0.0296606,0.0156133
J142704.55+355409.6,216.76896000000002,35.902656,0.029031,0.0235467,J085015.01+534032.0,132.56253999999998,53.675552,0.0359566,0.0190965
J130615.17+585733.2,196.5632,58.959224,0.029208,0.0209431,J082253.84+055615.5,125.72433999999998,5.9376445,0.0306668,0.0185709
J130615.17+585733.2,196.5632,58.959224,0.029208,0.0209431,J110338.36-005208.4,165.90984,-0.86900692,0.0286088,0.0167029
J130615.17+585733.2,196.5632,58.959224,0.029208,0.0209431,J143838.87+363354.8,219.66197000000003,36.565219,0.0319369,0.0201344
J130615.17+585733.2,196.5632,58.959224,0.029208,0.0209431,J092206.32+524209.7,140.52635,52.702702,0.035954,0.0260733
J130615.17+585733.2,196.5632,58.959224,0.029208,0.0209431,J034330.26-073507.4,55.876082999999994,-7.5853758000000004,0.0357821,0.0205993
J112408.65-010927.9,171.03603,-1.1577620000000002,0.029288,0.0149568,J080359.20+234520.5,120.99667,23.755681,0.0293969,0.0240011
J112408.65-010927.9,171.03603,-1.1577620000000002,0.029288,0.0149568,J120914.11+470330.1,182.30879,47.058364000000005,0.0242199,0.0215602
