NAME2,I,type,other,hubble,sat,bar,core,asa,gud,tl,mg,onsa,ring
J130905.60+113802.9,0.07281857535578097,d,,s,,,,,,,,,
J130911.26+461858.4,0.0583594397037445,c,,l,,,,,,,,,
J131038.58+611623.6,0.10534740188597284,a,,e,,,,,,,,,
J131226.68-022724.5,0.1207666646368618,d,,s,,,,,,,,,
J131357.98+454216.1,0.07648023792980663,f,,e,,,,,,,,,
J131408.61-002628.0,0.09306425866367618,1,,a,1,,,,,,,,1
J131517.27+442425.6,0.2261034785615773,4,,a,,,,,,,1,,
J131659.79+053924.4,0.13063456720501115,2,,a,,,,,1,,,,
J131704.95+014940.7,0.14012710686707472,1,,a,1,,,1,,,,,
J131817.68+132500.1,0.10645724577416706,f,,e,,,,,,,,,
J131835.67+140248.5,0.08998042185905819,a,,e,,,,,,,,,
J132313.62+401214.3,0.17841625105005354,3,,a,,,,1,,,,,
J132401.71+584713.4,0.1156895116711102,f,,e,,,,,,,,,
J132409.64+051535.1,0.2525126456191764,3,,a,,,,1,,,,,
J132505.37-005411.2,0.0792076264629734,2,,a,,,,,,,,,1
J132513.63+622345.3,0.2091303763238421,b,,e,,,,,,,,,
J132904.55+560353.3,0.13180115474448634,f,,e,,,,,,,,,
J133023.78+022058.6,0.11870501989817245,b,,e,,,,,,,,,
J133147.09+591047.3,0.10375845084607667,1,,a,,,,,,,,,
J133305.34-010208.9,0.12092103415697722,1,,a,1,,,,,,,,1
J133548.25+025956.1,0.07638505711880783,1,,a,1,,,,,,,,
J133612.18+044424.3,0.047971270494443816,a,,e,,,,,,,,,
J133625.02+562003.5,0.13562971420875214,f,,e,,,,,,,,,
J133707.32+020754.8,0.09005769875346507,c,,l,,,,,,,,,
J133817.77+481641.1,0.13184495804949098,4,,a,,,,,,,1,,
J133853.41+004519.4,0.10379723764431838,d,,s,,,,,,,,,
J134049.96+052458.6,0.08999355993636943,b,,e,,,,,,,,,
J134250.16+471513.9,0.09024175691974516,c,,l,,,,,,,,,
J134442.17+555313.6,0.37991543579818005,3,,a,,,,,,1,,,
J134527.23+475521.8,0.15675754659513666,1,4?,a,1,,,,,,,,
J134640.80+522836.6,0.0995973615716855,b,,e,,,,,,,,,
J134858.52+033120.9,0.11003802048547257,b,,e,,,,,,,,,
J135228.16+015642.1,0.1075369984545259,b,,e,,,,,,,,,
